상가업소번호,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시군구코드,시군구명,행정동코드,행정동명,경도,위도
MA010120220809658173,성심인력공사,시설관리·임대,고용 알선,고용 알선업,11170,용산구,11170530,남영동,126.9722395561,37.5528033564175
MA010120220803589506,디자인가토,소매,철물·건설자재 소매,건설/건축자재 소매업,11170,용산구,11170625,한강로동,126.964297977266,37.52296910274
MA010120220811885350,아이보리,숙박,일반 숙박,펜션,11170,용산구,11170650,이태원1동,126.993505706614,37.5340386219303
MA010120220800268268,신도OA,시설관리·임대,산업용품 대여,컴퓨터/사무기기 대여업,11170,용산구,11170530,남영동,126.97481068048,37.5463257535375
MA010120220809207621,오프스튜디오,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,11170,용산구,11170685,한남동,127.000237589955,37.5321016479606
MA010120220813411222,크린토피아한가람점,수리·개인,세탁,세탁소,11170,용산구,11170630,이촌1동,126.974921169332,37.5205120986189
MA010120220814038533,지안,소매,섬유·의복·신발 소매,기타 의류 소매업,11170,용산구,11170650,이태원1동,126.990054934875,37.5338221415263
MA010120220800265091,치킨뱅이,음식,기타 간이,치킨,11170,용산구,11170530,남영동,126.972352299408,37.5539566602265
MA010120220804032062,블루멘박,소매,식물 소매,꽃집,11170,용산구,11170660,이태원2동,126.995971829521,37.5405619748439
MA010120220804001836,아르떼원,과학·기술,본사·경영 컨설팅,경영 컨설팅업,11170,용산구,11170580,효창동,126.962478890779,37.5411327225197
MA010120220805358269,필라테스다이어리,교육,기타 교육,요가/필라테스 학원,11170,용산구,11170630,이촌1동,126.976211358729,37.5185752088215
MA010120220800267331,신유호세무회계사무소,과학·기술,회계·세무,세무사,11170,용산구,11170625,한강로동,126.968177951971,37.5234117031076
MA010120220800177446,유진텔레콤,소매,가전·통신 소매,핸드폰 소매업,11170,용산구,11170625,한강로동,126.963243494836,37.5279152812857
MA010120220802896302,옐로우독,음식,비알코올 ,카페,11170,용산구,11170510,후암동,126.980874713841,37.5514896135744
MA010120220812931625,까페더브레이브,음식,비알코올 ,카페,11170,용산구,11170650,이태원1동,126.989081973704,37.533488685223
MA010120220807116400,레호이,음식,동남아시아,베트남식 전문,11170,용산구,11170660,이태원2동,126.99017815471,37.5432376042405
MA010120220813301372,하회마을,음식,한식,백반/한정식,11170,용산구,11170530,남영동,126.972785835192,37.5443701360513
MA010120220812036397,임팩트피플스,과학·기술,시장 조사,시장 조사 및 여론 조사업,11170,용산구,11170530,남영동,126.972083000956,37.5477577284215
MA010120220805077631,코스믹맨션,음식,비알코올 ,카페,11170,용산구,11170685,한남동,127.001946102933,37.537030106757
MA010120220809461955,내추럴와인플레이스이태원점,음식,서양식,경양식,11170,용산구,11170650,이태원1동,126.99176332136,37.5341646533871
MA010120220811834786,자모크,음식,비알코올 ,카페,11170,용산구,11170625,한강로동,126.959564082485,37.5327884965563
MA010120220806863777,오리지널스,음식,주점,일반 유흥 주점,11170,용산구,11170625,한강로동,126.9720643022,37.5372160286774
MA010120220805294439,어반딜라이트,시설관리·임대,고용 알선,임시/일용 인력 공급업,11170,용산구,11170685,한남동,127.003100439419,37.5431208420689
MA010120220800310525,지현사,소매,안경·정밀기기 소매,사진기/기타 광학기기 소매업,11170,용산구,11170625,한강로동,126.959564082485,37.5327884965563
MA010120220810274427,메이비,소매,섬유·의복·신발 소매,여성 의류 소매업,11170,용산구,11170555,청파동,126.969164753601,37.5445404358695
MA010120220800306431,토템토탈미용실,수리·개인,이용·미용,미용실,11170,용산구,11170700,보광동,126.997941051508,37.5261189791367
MA010120220811565225,더에이치비,과학·기술,본사·경영 컨설팅,경영 컨설팅업,11170,용산구,11170660,이태원2동,126.994353797423,37.5402285385853
MA010120220809962438,사록,과학·기술,전문 디자인,시각 디자인업,11170,용산구,11170555,청파동,126.96962660567,37.5496942692016
MA010120220812051452,조셉필라테스,교육,기타 교육,요가/필라테스 학원,11170,용산구,11170630,이촌1동,126.975023353248,37.5193858664557
MA010120220808337189,이바돔감자탕효창점,음식,한식,국/탕/찌개류,11170,용산구,11170555,청파동,126.962308741425,37.5419705980741
MA010120220813947607,크리에이티브찬,과학·기술,광고,기타 광고 관련 서비스업,11170,용산구,11170530,남영동,126.971688069676,37.544757307645
MA010120220800262061,토큰판매소,소매,담배 소매,담배/전자담배 소매업,11170,용산구,11170510,후암동,126.981236695824,37.5521023504211
MA010120220800282665,명품원조한방왕족발,음식,한식,족발/보쌈,11170,용산구,11170625,한강로동,126.967269870333,37.5304663003576
MA010120220800040758,윤아트,소매,섬유·의복·신발 소매,액세서리/잡화 소매업,11170,용산구,11170690,서빙고동,126.995248835822,37.5220914206163
MA010120220801630410,이노베이,시설관리·임대,기타 사업 서비스,전시/컨벤션/행사 대행 서비스업,11170,용산구,11170625,한강로동,126.956046033452,37.5318051483732
MA010120220808046350,그린어바니스트,숙박,일반 숙박,펜션,11170,용산구,11170510,후암동,126.977988336534,37.5535614063526
MA010120220804259155,행복한공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,11170,용산구,11170625,한강로동,126.969577495971,37.5313048486214
MA010120220813604565,이태원포차,음식,한식,백반/한정식,11170,용산구,11170650,이태원1동,126.992396907445,37.5342097459222
MA010120220806027561,마음집,음식,주점,요리 주점,11170,용산구,11170625,한강로동,126.964941984506,37.52468120029
MA010120220800279971,국제열쇠,소매,철물·건설자재 소매,철물/공구 소매업,11170,용산구,11170640,이촌2동,126.954805194892,37.5257139088512
MA010120220812785479,한남114공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,11170,용산구,11170685,한남동,127.0051251572,37.5321375770385
MA010120220803930421,티앤플러스,과학·기술,기술 서비스,건물 및 토목 엔지니어링 서비스업,11170,용산구,11170570,원효로2동,126.95551234406,37.535075581954
MA010120220813830030,스윙공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,11170,용산구,11170625,한강로동,126.965175818964,37.5327091945641
MA010120220813320337,비고미베이커리,음식,기타 간이,빵/도넛,11170,용산구,11170590,용문동,126.960421801643,37.5368342804708
MA010120220800299564,용산빈대떡,음식,기타 간이,그 외 기타 간이 음식점,11170,용산구,11170625,한강로동,126.964613588963,37.5253748740893
MA010120220813319650,대성축산,소매,식료품 소매,정육점,11170,용산구,11170555,청파동,126.963741398463,37.5510260862843
MA010120220800264359,행운이발관,수리·개인,이용·미용,미용실,11170,용산구,11170690,서빙고동,126.996153656656,37.5252629823645
MA010120220805116271,고엔,음식,주점,요리 주점,11170,용산구,11170660,이태원2동,126.988617237633,37.5391559349059
MA010120220808401740,안도서울,소매,장식품 소매,예술품 소매업,11170,용산구,11170530,남영동,126.972242058808,37.546054877952
MA010120220800308956,자린고비,소매,가전·통신 소매,컴퓨터/소프트웨어 소매업,11170,용산구,11170625,한강로동,126.956826485491,37.5321478167086
MA010120220813691521,두리헤어샵,수리·개인,이용·미용,미용실,11170,용산구,11170555,청파동,126.966229812709,37.553801898245
MA010120220803008566,충무김밥,음식,기타 간이,김밥/만두/분식,11170,용산구,11170630,이촌1동,126.982319858062,37.5179545888629
MA010120220803087738,예가공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,11170,용산구,11170700,보광동,126.999581423314,37.5259838460208
MA010120220800282357,e리빙텔,숙박,기타 숙박,기숙사/고시원,11170,용산구,11170560,원효로1동,126.962956860224,37.5356097421432
MA010120220802772548,써드아이엠,교육,기타 교육,기타 기술/직업 훈련학원,11170,용산구,11170685,한남동,127.002523352456,37.5431839257775
MA010120220813555785,잭슨피자,음식,기타 간이,피자,11170,용산구,11170625,한강로동,126.972352152373,37.5237100848369
MA010120220804211477,클라쎄오토용산한강대로지점,수리·개인,자동차 수리·세차,자동차 정비소,11170,용산구,11170530,남영동,126.97256066785,37.5412436154977
MA010120220800285835,이촌연세휴치과,보건의료,의원,치과의원,11170,용산구,11170630,이촌1동,126.977761166651,37.5182511496098
MA010120220802904998,아울라운지,음식,주점,요리 주점,11170,용산구,11170650,이태원1동,126.994772821033,37.5349667156872
MA010120220809334340,스튜디오아바드,과학·기술,전문 디자인,시각 디자인업,11170,용산구,11170625,한강로동,126.971523456738,37.5312873138471
MA010120220800106476,남산아래,음식,비알코올 ,카페,11170,용산구,11170520,용산2가동,126.984882016124,37.5456607331357
MA010120220803086178,회계법인더함,과학·기술,회계·세무,공인회계사,11170,용산구,11170555,청파동,126.967965098204,37.5449906161323
MA010120220800270061,디직스,소매,가전·통신 소매,컴퓨터/소프트웨어 소매업,11170,용산구,11170625,한강로동,126.965435493884,37.5338895821486
MA010120220810072363,문지스뷰티,수리·개인,이용·미용,네일숍,11170,용산구,11170625,한강로동,126.966659672077,37.5288172968287
MA010120220800284540,소월길밀영,음식,비알코올 ,카페,11170,용산구,11170510,후암동,126.981192687259,37.5470927916058
MA010120220809269008,정원네일,수리·개인,이용·미용,네일숍,11170,용산구,11170570,원효로2동,126.950070999467,37.5338570557418
MA010120220802662208,유니언플레이스한남,음식,서양식,경양식,11170,용산구,11170685,한남동,126.998393364747,37.5355795009399
MA010120220813588911,스튜디오아름담다,과학·기술,사진 촬영,사진촬영업,11170,용산구,11170555,청파동,126.966199893614,37.5448729941594
MA010120220812471291,사이꼬스시,음식,일식,일식 회/초밥,11170,용산구,11170555,청파동,126.97019414736,37.5453786294601
MA010120220800321790,플레이스아이티주,소매,섬유·의복·신발 소매,가방 소매업,11170,용산구,11170625,한강로동,126.956046033452,37.5318051483732
MA010120220805125576,정성다방,음식,비알코올 ,카페,11170,용산구,11170530,남영동,126.971844124336,37.551046316382
MA010120220808345454,다자인,소매,종합 소매,슈퍼마켓,11170,용산구,11170510,후암동,126.976914203408,37.5503626577587
MA010120220811677994,테이콘커뮤니케이션즈,과학·기술,광고,광고 대행업,11170,용산구,11170685,한남동,127.00056570187,37.5336243387039
MA010120220809750786,인셀메틱,소매,의약·화장품 소매,화장품 소매업,11170,용산구,11170700,보광동,126.998054167206,37.526632552247
MA010120220812631906,그믐,과학·기술,사진 촬영,사진촬영업,11170,용산구,11170625,한강로동,126.971195758394,37.5302510827769
